device,ai_model,runtime,inference_time,minimum_memory_usage,maximum_memory_usage,compute_units,test_date,notes
Xiaomi 12 Pro,ffnet_122ns_lowres,tflite,15.193,1,14,218,,
Xiaomi 12 Pro,ffnet_78s,tflite,81.896,5,23,151,,
Xiaomi 12 Pro,ffnet_78s_quantized,tflite,13.391,1,16,153,,
Xiaomi 12 Pro,ffnet_78s_lowres,tflite,17.851,1,22,151,,
Xiaomi 12 Pro,ffnet_54s,tflite,60.384,3,20,115,,
Xiaomi 12 Pro,ffnet_54s_quantized,tflite,14.227,1,12,117,,
Xiaomi 12 Pro,ffnet_40s,tflite,55.98,3,21,94,,
Xiaomi 12 Pro,ffnet_40s_quantized,tflite,10.228,1,15,96,,
Xiaomi 12 Pro,fcn_resnet50,tflite,74.059,1,15,88,,
Xiaomi 12 Pro,fcn_resnet50_quantized,tflite,17.578,1,13,90,,
Xiaomi 12 Pro,fastsam_x,tflite,81.636,5,22,419,,
Xiaomi 12 Pro,fastsam_s,tflite,16.709,5,25,287,,
Xiaomi 12 Pro,deeplabv3_plus_mobilenet,tflite,21.641,1,15,101,,
Xiaomi 12 Pro,deeplabv3_plus_mobilenet_quantized,tflite,5.253,1,14,136,,
Xiaomi 12 Pro,ddrnet23_slim,tflite,8.026,1,14,131,,
Google Pixel 9,sinet,tflite,9.15,3,25,222,,
Google Pixel 9,segformer_base,tflite,45.742,10,33,543,,
Google Pixel 9,pidnet,tflite,469.596,77,96,169,,
Google Pixel 9,mediapipe_selfie,tflite,0.635,1,23,118,,
Google Pixel 9,mask2former,tflite,1583.185,164,188,3223,,
Google Pixel 9,ffnet_122ns_lowres,tflite,12.494,7,22,218,,
Google Pixel 9,ffnet_78s,tflite,47.784,3,20,151,,
Google Pixel 9,ffnet_78s_quantized,tflite,20.272,1,18,153,,
Google Pixel 9,ffnet_78s_lowres,tflite,15.274,7,22,151,,
Google Pixel 9,ffnet_54s,tflite,40.628,3,19,115,,
Google Pixel 9,ffnet_54s_quantized,tflite,16.909,1,18,117,,
Google Pixel 9,ffnet_40s,tflite,35.182,3,20,94,,
Google Pixel 9,ffnet_40s_quantized,tflite,13.946,1,19,96,,
Google Pixel 9,fcn_resnet50,tflite,245.745,23,40,88,,
Google Pixel 9,fcn_resnet50_quantized,tflite,74.617,2,19,90,,
Google Pixel 9,fastsam_x,tflite,242.785,6,39,419,,
Google Pixel 9,fastsam_s,tflite,45.555,6,27,287,,
Google Pixel 9,deeplabv3_resnet50,tflite,369.806,23,39,100,,
Google Pixel 9,deeplabv3_plus_mobilenet,tflite,35.63,2,19,101,,
Google Pixel 9,deeplabv3_plus_mobilenet_quantized,tflite,6.347,2,19,136,,
Google Pixel 9,ddrnet23_slim,tflite,7.383,1,18,131,,
Google Pixel 9 Pro,ddrnet23_slim,tflite,7.317,1,21,131,,
Google Pixel 9 Pro,deeplabv3_plus_mobilenet_quantized,tflite,6.384,2,22,136,,
Google Pixel 9 Pro,deeplabv3_plus_mobilenet,tflite,35.8,2,16,101,,
Google Pixel 9 Pro,deeplabv3_resnet50,tflite,366.438,23,49,100,,
Google Pixel 9 Pro,fastsam_s,tflite,46.021,6,26,287,,
Google Pixel 9 Pro,fastsam_x,tflite,201.593,7,24,419,,
Google Pixel 9 Pro,fcn_resnet50_quantized,tflite,74.803,2,19,90,,
Google Pixel 9 Pro,fcn_resnet50,tflite,240.678,23,46,88,,
Google Pixel 9 Pro,ffnet_40s_quantized,tflite,14.296,1,19,96,,
Google Pixel 9 Pro,ffnet_40s,tflite,35.598,3,19,94,,
Google Pixel 9 Pro,ffnet_54s_quantized,tflite,17.161,1,18,117,,
Google Pixel 9 Pro,ffnet_54s,tflite,41.058,3,19,115,,
Google Pixel 9 Pro,ffnet_78s_lowres,tflite,13.523,7,23,151,,
Google Pixel 9 Pro,ffnet_78s_quantized,tflite,20.384,1,18,153,,
Google Pixel 9 Pro,ffnet_78s,tflite,47.12,3,19,151,,
Google Pixel 9 Pro,ffnet_122ns_lowres,tflite,13.702,7,23,218,,
Google Pixel 9 Pro,mask2former,tflite,1362.782,129,145,3223,,
Google Pixel 9 Pro,mediapipe_selfie,tflite,0.562,1,23,118,,
Google Pixel 9 Pro,pidnet,tflite,438.921,76,94,169,,
Google Pixel 9 Pro,segformer_base,tflite,45.361,10,34,543,,
Google Pixel 9 Pro,sinet,tflite,8.68,3,23,222,,
Google Pixel 9 Pro,unet_segmentation,tflite,517.678,7,54,32,,
Google Pixel 8 Pro,ddrnet23_slim,tflite,8.636,1,18,131,,
Google Pixel 8 Pro,deeplabv3_plus_mobilenet_quantized,tflite,6.606,2,19,136,,
Google Pixel 8 Pro,deeplabv3_plus_mobilenet,tflite,36.031,2,16,101,,
Google Pixel 8 Pro,deeplabv3_resnet50,tflite,393.315,23,39,100,,
Google Pixel 8 Pro,fastsam_s,tflite,50.849,6,27,287,,
Google Pixel 8 Pro,fastsam_x,tflite,207.862,6,46,419,,
Google Pixel 8 Pro,fcn_resnet50_quantized,tflite,98.901,2,23,90,,
Google Pixel 8 Pro,fcn_resnet50,tflite,260.815,23,37,88,,
Google Pixel 8 Pro,ffnet_40s_quantized,tflite,14.189,1,19,96,,
Google Pixel 8 Pro,ffnet_40s,tflite,35.793,3,19,94,,
Google Pixel 8 Pro,ffnet_54s_quantized,tflite,17.007,1,18,117,,
Google Pixel 8 Pro,ffnet_54s,tflite,42.986,3,18,115,,
Google Pixel 8 Pro,ffnet_78s_lowres,tflite,14.926,7,23,151,,
Google Pixel 8 Pro,ffnet_78s_quantized,tflite,21.301,1,18,153,,
Google Pixel 8 Pro,ffnet_78s,tflite,50.23,3,18,151,,
Google Pixel 8 Pro,ffnet_122ns_lowres,tflite,12.474,7,23,218,,
Google Pixel 8 Pro,mask2former,tflite,1413.774,163,184,3223,,
Google Pixel 8 Pro,mediapipe_selfie,tflite,0.804,1,23,118,,
Google Pixel 8 Pro,pidnet,tflite,487.826,75,91,169,,
